,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
337,0.0,Tue Oct 02 12:04:33 +0000 2018,1.0,0.0,0.0,38,@FoxNews
338,0.8519,Tue Oct 02 12:00:01 +0000 2018,0.492,0.0,0.508,39,@FoxNews
339,-0.4767,Tue Oct 02 11:45:00 +0000 2018,0.721,0.279,0.0,40,@FoxNews
340,0.1779,Tue Oct 02 11:31:55 +0000 2018,0.876,0.0,0.124,41,@FoxNews
341,0.3612,Tue Oct 02 11:30:00 +0000 2018,0.857,0.0,0.143,42,@FoxNews
342,0.0,Tue Oct 02 11:20:00 +0000 2018,1.0,0.0,0.0,43,@FoxNews
343,0.0,Tue Oct 02 11:15:00 +0000 2018,1.0,0.0,0.0,44,@FoxNews
344,0.0,Tue Oct 02 11:07:02 +0000 2018,1.0,0.0,0.0,45,@FoxNews
345,-0.5994,Tue Oct 02 10:46:54 +0000 2018,0.698,0.302,0.0,46,@FoxNews
346,0.0,Tue Oct 02 10:28:37 +0000 2018,1.0,0.0,0.0,47,@FoxNews
347,-0.3182,Tue Oct 02 10:15:00 +0000 2018,0.887,0.113,0.0,48,@FoxNews
348,0.0,Tue Oct 02 10:10:11 +0000 2018,1.0,0.0,0.0,49,@FoxNews
349,0.0,Tue Oct 02 10:10:00 +0000 2018,1.0,0.0,0.0,50,@FoxNews
350,0.8402,Tue Oct 02 10:00:01 +0000 2018,0.679,0.0,0.321,51,@FoxNews
351,-0.5719,Tue Oct 02 09:45:00 +0000 2018,0.773,0.227,0.0,52,@FoxNews
352,0.0,Tue Oct 02 09:15:00 +0000 2018,1.0,0.0,0.0,53,@FoxNews
353,0.4939,Tue Oct 02 09:00:01 +0000 2018,0.758,0.0,0.242,54,@FoxNews
354,-0.5267,Tue Oct 02 08:45:00 +0000 2018,0.855,0.145,0.0,55,@FoxNews
355,-0.5719,Tue Oct 02 08:15:00 +0000 2018,0.68,0.32,0.0,56,@FoxNews
356,0.824,Tue Oct 02 08:00:00 +0000 2018,0.733,0.0,0.267,57,@FoxNews
357,0.0,Tue Oct 02 07:45:00 +0000 2018,1.0,0.0,0.0,58,@FoxNews
358,-0.4019,Tue Oct 02 07:30:00 +0000 2018,0.599,0.251,0.15,59,@FoxNews
359,0.5106,Tue Oct 02 07:15:00 +0000 2018,0.769,0.0,0.231,60,@FoxNews
360,0.0,Tue Oct 02 07:00:00 +0000 2018,1.0,0.0,0.0,61,@FoxNews
361,0.0,Tue Oct 02 06:31:00 +0000 2018,1.0,0.0,0.0,62,@FoxNews
362,0.2732,Tue Oct 02 06:15:00 +0000 2018,0.851,0.0,0.149,63,@FoxNews
363,-0.7506,Tue Oct 02 06:00:00 +0000 2018,0.61,0.39,0.0,64,@FoxNews
364,0.0,Tue Oct 02 05:44:00 +0000 2018,1.0,0.0,0.0,65,@FoxNews
365,0.4939,Tue Oct 02 05:30:00 +0000 2018,0.758,0.0,0.242,66,@FoxNews
366,0.0,Tue Oct 02 05:15:00 +0000 2018,1.0,0.0,0.0,67,@FoxNews
367,-0.5106,Tue Oct 02 04:45:00 +0000 2018,0.788,0.212,0.0,68,@FoxNews
368,-0.1779,Tue Oct 02 04:30:00 +0000 2018,0.697,0.169,0.134,69,@FoxNews
369,0.0,Tue Oct 02 04:15:00 +0000 2018,1.0,0.0,0.0,70,@FoxNews
370,-0.0516,Tue Oct 02 04:01:00 +0000 2018,0.781,0.117,0.102,71,@FoxNews
371,0.0,Tue Oct 02 03:46:00 +0000 2018,1.0,0.0,0.0,72,@FoxNews
372,-0.5106,Tue Oct 02 03:30:00 +0000 2018,0.609,0.279,0.112,73,@FoxNews
373,-0.6486,Tue Oct 02 03:15:00 +0000 2018,0.677,0.323,0.0,74,@FoxNews
374,-0.4215,Tue Oct 02 02:55:00 +0000 2018,0.859,0.141,0.0,75,@FoxNews
375,0.0,Tue Oct 02 02:50:00 +0000 2018,1.0,0.0,0.0,76,@FoxNews
376,0.0,Tue Oct 02 02:42:00 +0000 2018,1.0,0.0,0.0,77,@FoxNews
377,0.0,Tue Oct 02 02:35:00 +0000 2018,1.0,0.0,0.0,78,@FoxNews
378,0.3691,Tue Oct 02 02:20:00 +0000 2018,0.669,0.123,0.208,79,@FoxNews
379,-0.34,Tue Oct 02 02:11:00 +0000 2018,0.862,0.138,0.0,80,@FoxNews
380,0.0,Tue Oct 02 02:05:00 +0000 2018,1.0,0.0,0.0,81,@FoxNews
381,-0.3182,Tue Oct 02 01:57:33 +0000 2018,0.887,0.113,0.0,82,@FoxNews
382,-0.34,Tue Oct 02 01:52:42 +0000 2018,0.658,0.217,0.125,83,@FoxNews
383,-0.5106,Tue Oct 02 01:30:58 +0000 2018,0.752,0.248,0.0,84,@FoxNews
384,0.4019,Tue Oct 02 01:23:40 +0000 2018,0.748,0.0,0.252,85,@FoxNews
385,0.0,Tue Oct 02 01:17:01 +0000 2018,1.0,0.0,0.0,86,@FoxNews
386,-0.1779,Tue Oct 02 01:11:00 +0000 2018,0.521,0.256,0.223,87,@FoxNews
387,0.824,Tue Oct 02 01:05:00 +0000 2018,0.733,0.0,0.267,88,@FoxNews
388,0.0,Tue Oct 02 00:58:28 +0000 2018,1.0,0.0,0.0,89,@FoxNews
389,0.1531,Tue Oct 02 00:52:00 +0000 2018,0.667,0.122,0.211,90,@FoxNews
390,-0.5719,Tue Oct 02 00:49:43 +0000 2018,0.68,0.32,0.0,91,@FoxNews
391,0.0,Tue Oct 02 00:43:05 +0000 2018,1.0,0.0,0.0,92,@FoxNews
392,-0.0516,Tue Oct 02 00:31:37 +0000 2018,0.781,0.117,0.102,93,@FoxNews
393,-0.2263,Tue Oct 02 00:24:59 +0000 2018,0.763,0.137,0.1,94,@FoxNews
